Time,Mean_Error,a_x,a_y,a_yaw,a_v_cmd,a_w_cmd,a_err_x,a_err_y,b_x,b_y,b_yaw,b_v_cmd,b_w_cmd,b_err_x,b_err_y,c_x,c_y,c_yaw,c_v_cmd,c_w_cmd,c_err_x,c_err_y,d_x,d_y,d_yaw,d_v_cmd,d_w_cmd,d_err_x,d_err_y,e_x,e_y,e_yaw,e_v_cmd,e_w_cmd,e_err_x,e_err_y
2.25009,0.349533,2.49276,-1.26631,2.6264,0.0527352,-0.148034,-0.0499757,0.0331937,1.84627,-0.243407,1.33663,0.236849,-0.111882,-0.365793,0.200094,2.46714,0.819989,2.43988,0.24,-0.103358,-0.0436501,0.165337,1.92753,2.21584,-2.80209,0,0,-0.637016,0.267627,2.65946,3.02411,2.40274,0.24,-0.116461,0.156013,0.377832
2.30012,0.350363,2.49077,-1.26891,2.61149,0.0539235,-0.133962,-0.0456391,0.0340075,1.84731,-0.230786,1.3272,0.226617,-0.090674,-0.359154,0.209709,2.45583,0.827142,2.43389,0.24,-0.0931028,-0.0473208,0.172085,1.92892,2.21498,-2.80666,0,0,-0.632183,0.268069,2.64831,3.03098,2.39625,0.24,-0.109245,0.152984,0.384545
2.35008,0.352332,2.48768,-1.27058,2.60074,0.0549596,-0.121148,-0.0428561,0.0352779,1.84775,-0.218427,1.31743,0.21363,-0.0651943,-0.351599,0.221463,2.44559,0.834426,2.4275,0.24,-0.0833883,-0.053198,0.18096,1.92904,2.21512,-2.80653,0,0,-0.628046,0.268179,2.63733,3.03757,2.38737,0.24,-0.105709,0.147122,0.392421
2.40007,0.352941,2.48561,-1.27093,2.59557,0.055435,-0.114696,-0.039777,0.0360723,1.84957,-0.207815,1.31499,0.205785,-0.0522576,-0.345474,0.228667,2.43686,0.840015,2.42172,0.24,-0.0774096,-0.054827,0.186065,1.92872,2.2153,-2.80572,0,0,-0.624012,0.268117,2.62923,3.04261,2.38185,0.24,-0.0990619,0.144987,0.397975
2.45012,0.355992,2.48305,-1.2718,2.58535,0.0564065,-0.100514,-0.0370214,0.0380608,1.85068,-0.196002,1.30722,0.190627,-0.0264027,-0.337391,0.243087,2.42677,0.847953,2.41828,0.24,-0.0618861,-0.0615798,0.19628,1.92853,2.21529,-2.80524,0,0,-0.620141,0.267995,2.6181,3.0495,2.37518,0.24,-0.0942672,0.13637,0.407527
2.50005,0.35803,2.48063,-1.27182,2.58186,0.0567148,-0.0953884,-0.0350119,0.0388719,1.85221,-0.186749,1.30294,0.180411,-0.0103439,-0.330685,0.2523,2.41823,0.853583,2.41286,0.24,-0.0534371,-0.0653289,0.203458,1.92882,2.21509,-2.8061,0,0,-0.616921,0.267504,2.60911,3.05603,2.3755,0.24,-0.0838039,0.135092,0.414312
2.55012,0.360412,2.47844,-1.27222,2.57416,0.057407,-0.0838643,-0.0322175,0.04071,1.85401,-0.177739,1.29998,0.168547,0.00803393,-0.323405,0.263016,2.41025,0.859968,2.40902,0.24,-0.040075,-0.0704648,0.212291,1.92883,2.21509,-2.80587,0,0,-0.612095,0.267938,2.60057,3.06059,2.36621,0.24,-0.0788954,0.128645,0.422279
2.60009,0.362368,2.47558,-1.27213,2.56837,0.0578535,-0.0754514,-0.0297949,0.0420133,1.85594,-0.16739,1.29676,0.159342,0.0217354,-0.317323,0.27098,2.40018,0.868312,2.40643,0.24,-0.0307012,-0.0743605,0.219365,1.92884,2.2151,-2.80638,0,0,-0.608074,0.268145,2.59003,3.06865,2.36465,0.24,-0.0752967,0.125099,0.428985
2.65006,0.364441,2.47324,-1.27205,2.56362,0.058159,-0.0697081,-0.0273122,0.043233,1.85841,-0.159296,1.2974,0.150481,0.0328764,-0.310925,0.279205,2.39156,0.874929,2.40292,0.24,-0.0197155,-0.0775873,0.226737,1.92887,2.21522,-2.80597,0,0,-0.604101,0.267974,2.58203,3.07449,2.35969,0.24,-0.0697908,0.121514,0.436054
2.70012,0.367434,2.47004,-1.2721,2.55873,0.0586692,-0.0587722,-0.0250024,0.0448293,1.85978,-0.150933,1.29331,0.139832,0.0476895,-0.304303,0.287783,2.38169,0.88342,2.40112,0.24,-0.00576984,-0.0835804,0.235923,1.92876,2.2151,-2.8062,0,0,-0.599951,0.268134,2.57205,3.08248,2.35568,0.24,-0.0669918,0.115884,0.444726
2.75006,0.370633,2.4678,-1.27165,2.55347,0.0589573,-0.0524216,-0.0234652,0.0464805,1.86309,-0.143947,1.29731,0.129604,0.0601543,-0.297556,0.296592,2.37374,0.890115,2.39794,0.24,0.00904165,-0.0887326,0.244898,1.9287,2.21522,-2.80592,0,0,-0.596234,0.268086,2.56344,3.0887,2.35172,0.24,-0.0609539,0.11059,0.453471
2.80011,0.372944,2.46524,-1.27106,2.54858,0.0593242,-0.0433518,-0.020971,0.0479154,1.86553,-0.135957,1.29703,0.121485,0.0705164,-0.29185,0.303113,2.36387,0.899206,2.39803,0.24,0.0216077,-0.0929737,0.252318,1.92881,2.21514,-2.80588,0,0,-0.59222,0.267938,2.5535,3.09735,2.34996,0.24,-0.0575743,0.106216,0.460639
2.85006,0.376275,2.46223,-1.27056,2.54336,0.0596947,-0.0336295,-0.0189618,0.0496288,1.86762,-0.128593,1.29635,0.111647,0.0829143,-0.285469,0.310912,2.35369,0.908077,2.39664,0.225551,0.0373734,-0.0988428,0.261468,1.9287,2.21524,-2.80523,0,0,-0.587814,0.268057,2.54294,3.10606,2.34729,0.24,-0.0532794,0.101548,0.469732
2.90008,0.378893,2.46002,-1.27005,2.53909,0.0600444,-0.0237411,-0.0162613,0.0512769,1.87043,-0.122701,1.30164,0.104067,0.0924071,-0.27983,0.316818,2.34547,0.915957,2.3974,0.212057,0.0490999,-0.102685,0.268942,1.92908,2.21523,-2.80574,0,0,-0.584193,0.268053,2.53466,3.11293,2.34476,0.24,-0.0495639,0.0977259,0.477438
2.95006,0.382324,2.45722,-1.26878,2.5379,0.060323,-0.015388,-0.0149719,0.0530423,1.87327,-0.115692,1.30441,0.0948459,0.10319,-0.274019,0.324052,2.33631,0.924974,2.39923,0.196033,0.0626336,-0.108224,0.277967,1.92906,2.21512,-2.80618,0,0,-0.57983,0.268078,2.52472,3.12127,2.34141,0.24,-0.0470966,0.0914448,0.486512
3.00006,0.384835,2.45492,-1.26779,2.53524,0.0605937,-0.0070561,-0.0127938,0.0544787,1.87469,-0.111078,1.30563,0.0877813,0.112642,-0.268585,0.328813,2.32883,0.932142,2.3986,0.183225,0.0732252,-0.111888,0.284928,1.92903,2.21516,-2.80619,0,0,-0.57619,0.268056,2.51639,3.12812,2.33835,0.24,-0.0402132,0.0884776,0.49419
3.05003,0.388283,2.4516,-1.26642,2.53166,0.0608519,0.00169583,-0.0115175,0.0566566,1.87752,-0.105269,1.31043,0.0797563,0.122005,-0.263366,0.33541,2.32033,0.940281,2.39992,0.168888,0.0848706,-0.11672,0.293177,1.92881,2.21511,-2.80577,0,0,-0.571824,0.267977,2.50551,3.13753,2.33716,0.24,-0.0346196,0.0827293,0.503337
3.10003,0.389673,2.44962,-1.26526,2.53067,0.0610421,0.00794319,-0.00891093,0.0576915,1.87972,-0.10057,1.31495,0.0747407,0.128433,-0.258623,0.339038,2.3141,0.94696,2.40297,0.160322,0.0905438,-0.118188,0.297792,1.92758,2.21574,-2.80214,0,0,-0.568092,0.268037,2.49783,3.14468,2.34,0.24,-0.034962,0.0795804,0.508849
3.15006,0.393761,2.4467,-1.26381,2.52824,0.0612726,0.0161501,-0.00811369,0.0601825,1.88206,-0.0954321,1.31829,0.0662222,0.139125,-0.253163,0.345877,2.3074,0.955015,2.4074,0.145627,0.102195,-0.123512,0.306503,1.92891,2.21503,-2.80685,0,0,-0.564236,0.268144,2.4885,3.15255,2.33389,0.24,-0.0301227,0.0736286,0.519092
3.20012,0.395982,2.44429,-1.26237,2.52881,0.0615119,0.0247804,-0.00575066,0.0617983,1.88462,-0.091097,1.32368,0.0598351,0.147257,-0.247936,0.350591,2.30189,0.960909,2.41072,0.135595,0.109973,-0.125934,0.311724,1.9278,2.21576,-2.80188,0,0,-0.560092,0.268179,2.48016,3.15985,2.33404,0.24,-0.0256327,0.0700327,0.526618
3.25007,0.398762,2.44175,-1.26071,2.52594,0.0687381,0.0227266,-0.0054464,0.0633086,1.88736,-0.0870526,1.33223,0.0541998,0.154323,-0.243175,0.35518,2.29581,0.967793,2.41311,0.12551,0.117205,-0.128755,0.317926,1.92898,2.21514,-2.8057,0,0,-0.555894,0.26802,2.47016,3.16799,2.32969,0.24,-0.0197762,0.064455,0.535812
3.3001,0.400991,2.43898,-1.25859,2.52825,0.0926466,0.0215932,-0.00331139,0.0654454,1.89041,-0.0835752,1.33915,0.0493712,0.160571,-0.238745,0.358947,2.29103,0.973164,2.41729,0.117389,0.122609,-0.130544,0.322434,1.92913,2.21504,-2.80671,0,0,-0.552036,0.268006,2.46211,3.17519,2.32896,0.24,-0.013737,0.0611626,0.543391
3.35012,0.402721,2.43611,-1.25685,2.52589,0.112748,0.0154559,-0.00137626,0.0667408,1.89231,-0.0804825,1.34526,0.0454643,0.165867,-0.234128,0.362419,2.28611,0.979258,2.422,0.110364,0.128617,-0.131092,0.326797,1.92859,2.21528,-2.80504,0,0,-0.547761,0.26797,2.45201,3.18495,2.33055,0.24,-0.0116484,0.05726,0.550512
